allocator,allocator_label,offset,date,realised_beta_252d
b1_ranked_volscale,Volatility-scaled portfolio,o0,1999-12-21,0.17270237602350186
b1_ranked_volscale,Volatility-scaled portfolio,o0,1999-12-22,0.1726922975927806
b1_ranked_volscale,Volatility-scaled portfolio,o0,1999-12-23,0.1725303842844725
b1_ranked_volscale,Volatility-scaled portfolio,o0,1999-12-27,0.17225825382958396
b1_ranked_volscale,Volatility-scaled portfolio,o0,1999-12-28,0.17235924353948592
b1_ranked_volscale,Volatility-scaled portfolio,o0,1999-12-29,0.1700895499697346
b1_ranked_volscale,Volatility-scaled portfolio,o0,1999-12-30,0.16993752889092292
b1_ranked_volscale,Volatility-scaled portfolio,o0,1999-12-31,0.16970176649029342
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-03,0.17098586632023613
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-04,0.1690966865267609
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-05,0.17492413394470185
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-06,0.17540028272167185
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-07,0.17515113601657376
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-10,0.17198938811598358
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-11,0.1822422082307673
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-12,0.18280612414132388
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-13,0.17932530999480367
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-14,0.18373919824581791
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-18,0.18548485477058568
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-19,0.18569538103931255
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-20,0.18638739593874032
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-21,0.18715983413326762
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-24,0.18406004092948317
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-25,0.1815254720387918
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-26,0.18060384502692928
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-27,0.1805722150119532
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-28,0.18294186064029044
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-01-31,0.18583328905443722
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-01,0.18395018240367325
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-02,0.18425555771815202
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-03,0.1828879527428017
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-04,0.18421754002800933
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-07,0.1841288516695345
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-08,0.18760983205310308
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-09,0.18813412286545467
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-10,0.19654301344171773
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-11,0.19501499075613388
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-14,0.1937850265274147
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-15,0.20088628947472395
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-16,0.19904712897167468
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-17,0.19954182037754284
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-18,0.20070607755694678
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-22,0.2008841476515385
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-23,0.20110968816147862
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-24,0.20142057272695174
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-25,0.20229959380002532
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-28,0.2033447223561059
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-02-29,0.20341815777201058
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-01,0.2024408220234279
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-02,0.2005734228766382
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-03,0.1996966410288289
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-06,0.20168072416549537
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-03-07,0.19829658903413935
