family,value,value_label,value_order,earliest_offset_start,latest_offset_start,period_end,n_offsets,gross_return_pct,gross_return_pct_schedule_min,gross_return_pct_schedule_max,gross_return_pct_schedule_spread,gross_sharpe,gross_sharpe_schedule_min,gross_sharpe_schedule_max,gross_sharpe_schedule_spread,net_return_pct,net_return_pct_schedule_min,net_return_pct_schedule_max,net_return_pct_schedule_spread,net_volatility_pct,net_volatility_pct_schedule_min,net_volatility_pct_schedule_max,net_volatility_pct_schedule_spread,net_sharpe,net_sharpe_schedule_min,net_sharpe_schedule_max,net_sharpe_schedule_spread,net_beta,net_beta_schedule_min,net_beta_schedule_max,net_beta_schedule_spread,net_max_drawdown_pct,net_max_drawdown_pct_schedule_min,net_max_drawdown_pct_schedule_max,net_max_drawdown_pct_schedule_spread,executed_turnover_l1_annualized,executed_turnover_l1_annualized_schedule_min,executed_turnover_l1_annualized_schedule_max,executed_turnover_l1_annualized_schedule_spread
holding_cutoff,75.0,75,1,1998-09-09,1998-09-22,2021-12-31,3,13.946666666666667,13.63,14.22,0.5899999999999999,1.6000000000000003,1.58,1.62,0.040000000000000036,11.950000000000001,11.65,12.2,0.5499999999999989,8.376666666666667,8.29,8.53,0.2400000000000002,1.39,1.37,1.41,0.039999999999999813,0.08,0.07,0.09,0.01999999999999999,18.16,14.5,20.18,5.68,35.35214199916296,35.18517783943929,35.6107493300992,0.4255714906599124
holding_cutoff,150.0,150,2,1998-09-09,1998-09-22,2021-12-31,3,13.799999999999999,13.54,13.94,0.40000000000000036,1.5833333333333333,1.57,1.6,0.030000000000000027,12.15,11.9,12.28,0.379999999999999,8.396666666666667,8.31,8.51,0.1999999999999993,1.4066666666666665,1.4,1.42,0.020000000000000018,0.07666666666666667,0.07,0.08,0.009999999999999995,18.3,15.75,20.49,4.739999999999998,29.227478543709953,29.095793907774894,29.299942612200894,0.2041487044260002
holding_cutoff,175.0,175,3,1998-09-09,1998-09-22,2021-12-31,3,13.913333333333334,13.57,14.13,0.5600000000000005,1.5933333333333335,1.57,1.62,0.050000000000000044,12.32,11.99,12.53,0.5399999999999991,8.396666666666667,8.32,8.48,0.16000000000000014,1.4266666666666665,1.4,1.45,0.050000000000000044,0.07666666666666667,0.07,0.08,0.009999999999999995,18.063333333333333,15.21,19.7,4.489999999999998,28.191677176817127,28.101785388939714,28.26579684609405,0.16401145715433785
holding_cutoff,200.0,200,4,1998-09-09,1998-09-22,2021-12-31,3,13.770000000000001,13.54,14.02,0.4800000000000004,1.58,1.56,1.61,0.050000000000000044,12.223333333333334,12.0,12.47,0.47000000000000064,8.386666666666667,8.31,8.48,0.16999999999999993,1.42,1.4,1.45,0.050000000000000044,0.07666666666666667,0.07,0.08,0.009999999999999995,19.183333333333334,16.35,21.53,5.18,27.394992523687847,27.32033383243985,27.451671339959088,0.13133750751923756
holding_cutoff,275.0,275,5,1998-09-09,1998-09-22,2021-12-31,3,13.486666666666666,13.39,13.55,0.16000000000000014,1.5533333333333335,1.53,1.57,0.040000000000000036,12.016666666666666,11.92,12.08,0.16000000000000014,8.353333333333333,8.28,8.43,0.15000000000000036,1.4033333333333333,1.38,1.42,0.040000000000000036,0.07666666666666667,0.07,0.08,0.009999999999999995,21.25,17.72,23.49,5.77,26.10779591596159,26.019851230569518,26.194949833886824,0.17509860331730565
trade_coefficient,0.0,0,1,1998-09-09,1998-09-22,2021-12-31,3,14.073333333333332,13.95,14.3,0.3500000000000014,1.6066666666666667,1.57,1.64,0.06999999999999984,11.840000000000002,11.72,12.06,0.33999999999999986,8.426666666666668,8.3,8.58,0.27999999999999936,1.3733333333333333,1.34,1.4,0.05999999999999983,0.08333333333333333,0.08,0.09,0.009999999999999995,19.956666666666667,19.12,21.08,1.9599999999999973,39.54199544593733,39.4625574743222,39.59729565574642,0.13473818142421834
trade_coefficient,1.0,1,2,1998-09-09,1998-09-22,2021-12-31,3,14.296666666666667,14.11,14.55,0.4400000000000013,1.63,1.6,1.66,0.05999999999999983,12.36,12.18,12.61,0.4299999999999997,8.413333333333334,8.32,8.53,0.20999999999999908,1.4266666666666665,1.4,1.46,0.06000000000000005,0.08,0.07,0.09,0.01999999999999999,18.786666666666665,17.48,19.47,1.9899999999999984,34.14885598746446,34.08357930334305,34.205298243045235,0.12171893970218406
trade_coefficient,2.0,2,3,1998-09-09,1998-09-22,2021-12-31,3,14.113333333333335,13.84,14.35,0.5099999999999998,1.6133333333333333,1.6,1.64,0.039999999999999813,12.42,12.16,12.65,0.4900000000000002,8.403333333333334,8.33,8.49,0.16000000000000014,1.4333333333333333,1.42,1.46,0.040000000000000036,0.07666666666666667,0.07,0.08,0.009999999999999995,18.099999999999998,15.58,19.5,3.92,29.848727725705597,29.762708350313517,29.919241140651064,0.15653279033754686
trade_coefficient,2.5,2.5,4,1998-09-09,1998-09-22,2021-12-31,3,13.913333333333334,13.57,14.13,0.5600000000000005,1.5933333333333335,1.57,1.62,0.050000000000000044,12.32,11.99,12.53,0.5399999999999991,8.396666666666667,8.32,8.48,0.16000000000000014,1.4266666666666665,1.4,1.45,0.050000000000000044,0.07666666666666667,0.07,0.08,0.009999999999999995,18.063333333333333,15.21,19.7,4.489999999999998,28.191677176817127,28.101785388939714,28.26579684609405,0.16401145715433785
trade_coefficient,3.0,3,5,1998-09-09,1998-09-22,2021-12-31,3,13.766666666666666,13.38,14.06,0.6799999999999997,1.58,1.55,1.61,0.06000000000000005,12.253333333333332,11.88,12.54,0.6599999999999984,8.383333333333335,8.3,8.47,0.16999999999999993,1.42,1.39,1.45,0.06000000000000005,0.07666666666666667,0.07,0.08,0.009999999999999995,18.12,15.24,19.68,4.4399999999999995,26.824817267866404,26.738162955441236,26.870587984571642,0.1324250291304061
trade_coefficient,5.0,5,6,1998-09-09,1998-09-22,2021-12-31,3,13.326666666666668,13.07,13.72,0.6500000000000004,1.54,1.51,1.58,0.07000000000000006,11.993333333333334,11.74,12.38,0.6400000000000006,8.346666666666666,8.26,8.43,0.16999999999999993,1.4000000000000001,1.37,1.44,0.06999999999999984,0.06666666666666667,0.06,0.07,0.010000000000000009,18.016666666666666,15.43,19.42,3.990000000000002,23.68996475950688,23.600993821162902,23.747443054776536,0.14644923361363382
